Operacio,Dia,Hora,Preu,Volum
V,03/01/24,12:12:15,2.66,119
V,03/01/24,12:21:13,2.66,1585
V,03/01/24,12:27:31,2.66,2305
V,03/01/24,12:35:52,2.66,1000
V,03/01/24,12:37:39,2.65,5135
C,03/01/24,12:44:41,2.6581,544
C,03/01/24,13:17:28,2.66,100
V,03/01/24,13:53:11,2.645,800
C,03/01/24,14:31:51,2.65,6093
C,03/01/24,14:32:00,2.655,1244
V,03/01/24,15:00:55,2.645,4101
V,03/01/24,15:06:37,2.645,2000
V,03/01/24,15:33:56,2.6363,2573
V,03/01/24,15:48:35,2.635,34
C,03/01/24,15:49:40,2.64,1074
V,03/01/24,16:01:20,2.635,2966
C,03/01/24,16:10:18,2.64,204
C,03/01/24,17:09:49,2.645,1206
V,03/01/24,17:19:05,2.64,3969
SF,03/01/24,17:35:20,2.645,3676
SI,04/01/24,11:08:08,2.665,112
V,04/01/24,11:36:32,2.656,1627
C,04/01/24,11:37:30,2.6594,1813
V,04/01/24,11:51:56,2.6566,5075
V,04/01/24,11:59:24,2.655,25
C,04/01/24,12:05:34,2.66,12
C,04/01/24,12:10:28,2.66,13
C,04/01/24,12:34:48,2.67,2134
C,04/01/24,12:34:53,2.68,503
V,04/01/24,12:37:02,2.671,2916
V,04/01/24,12:37:14,2.67,100
V,04/01/24,12:59:23,2.67,992
V,04/01/24,12:59:24,2.6692,2012
V,04/01/24,13:01:04,2.665,2868
V,04/01/24,13:01:05,2.665,463
C,04/01/24,13:01:53,2.67,2214
C,04/01/24,13:30:24,2.68,7415
C,04/01/24,13:30:52,2.69,2430
C,04/01/24,13:36:45,2.69,650
C,04/01/24,13:39:18,2.69,3474
V,04/01/24,14:42:07,2.675,29
C,04/01/24,14:45:40,2.685,109
V,04/01/24,15:07:59,2.68,1732
V,04/01/24,15:09:10,2.68,77
V,04/01/24,15:25:44,2.6745,1751
V,04/01/24,15:43:26,2.665,740
C,04/01/24,16:04:41,2.6803,3714
C,04/01/24,16:10:20,2.69,1353
V,04/01/24,16:10:37,2.68,1263
C,04/01/24,16:21:22,2.685,513
C,04/01/24,16:28:39,2.69,371
V,04/01/24,16:47:54,2.68,1200
C,04/01/24,16:50:11,2.69,1173
C,04/01/24,16:56:19,2.69,600
C,04/01/24,17:05:11,2.695,15
C,04/01/24,17:13:11,2.7,209
C,04/01/24,17:13:36,2.7,803
C,04/01/24,17:13:37,2.7,151
C,04/01/24,17:14:11,2.7,224
V,04/01/24,17:20:11,2.695,1962
SF,04/01/24,17:35:09,2.705,17371
SI,05/01/24,09:00:03,2.74,1173
V,05/01/24,09:01:54,2.6948,2030
V,05/01/24,09:31:32,2.6883,5810
C,05/01/24,09:38:18,2.6911,6173
C,05/01/24,09:42:33,2.705,368
V,05/01/24,09:51:27,2.69,200
C,05/01/24,09:57:01,2.7,789
C,05/01/24,09:59:57,2.7,65
V,05/01/24,10:05:27,2.695,489
V,05/01/24,10:11:29,2.6905,4736
V,05/01/24,10:11:34,2.69,1014
V,05/01/24,10:48:46,2.6667,10000
V,05/01/24,11:28:53,2.65,462
C,05/01/24,12:18:37,2.66,939
V,05/01/24,12:48:32,2.65,500
V,05/01/24,12:54:10,2.6472,6397
V,05/01/24,13:04:22,2.64,86
C,05/01/24,13:50:26,2.65,376
C,05/01/24,13:51:55,2.65,1000
V,05/01/24,13:53:48,2.64,1000
C,05/01/24,14:14:31,2.65,34
V,05/01/24,14:15:48,2.64,3729
C,05/01/24,14:17:47,2.645,39
C,05/01/24,14:17:48,2.645,26
C,05/01/24,14:17:49,2.645,17
C,05/01/24,14:17:50,2.645,34
C,05/01/24,14:29:50,2.645,109
C,05/01/24,14:56:54,2.645,1225
C,05/01/24,15:08:06,2.65,256
V,05/01/24,15:08:18,2.645,2084
C,05/01/24,15:26:42,2.65,34
V,05/01/24,15:46:36,2.645,633
C,05/01/24,15:46:37,2.65,2419
C,05/01/24,16:00:28,2.66,2000
C,05/01/24,16:08:05,2.6749,1770
C,05/01/24,16:27:06,2.68,601
C,05/01/24,16:27:12,2.68,4399
C,05/01/24,16:28:27,2.685,45
C,05/01/24,16:37:14,2.685,143
C,05/01/24,16:52:58,2.685,43
C,05/01/24,16:56:42,2.685,350
V,05/01/24,17:03:55,2.68,1733
V,05/01/24,17:25:06,2.67,131
V,05/01/24,17:27:47,2.67,34
SF,05/01/24,17:35:28,2.675,3794
SI,08/01/24,09:00:30,2.65,1358
C,08/01/24,09:09:36,2.6806,5400
V,08/01/24,09:15:00,2.6516,3441
V,08/01/24,09:44:54,2.6442,7347
C,08/01/24,09:52:19,2.6453,2717
C,08/01/24,10:22:20,2.65,60
V,08/01/24,10:28:11,2.6328,6820
V,08/01/24,10:30:30,2.625,9504
C,08/01/24,10:33:05,2.6264,414
V,08/01/24,10:34:08,2.625,1705
V,08/01/24,10:35:55,2.625,99
C,08/01/24,10:48:09,2.63,1536
V,08/01/24,11:10:16,2.6167,10000
C,08/01/24,11:12:15,2.64,2280
C,08/01/24,11:46:37,2.645,190
V,08/01/24,11:59:06,2.635,10
C,08/01/24,12:09:22,2.64,34
C,08/01/24,12:15:42,2.64,3352
C,08/01/24,12:15:43,2.645,1769
C,08/01/24,12:22:44,2.65,200
V,08/01/24,12:31:24,2.645,34
V,08/01/24,12:36:27,2.645,16
V,08/01/24,13:03:09,2.645,42
C,08/01/24,13:30:06,2.65,1349
V,08/01/24,13:32:21,2.645,1203
V,08/01/24,13:58:36,2.645,1134
C,08/01/24,14:02:34,2.655,676
C,08/01/24,14:14:21,2.655,34
C,08/01/24,14:43:16,2.655,17
V,08/01/24,15:15:05,2.645,500
C,08/01/24,15:32:46,2.655,491
C,08/01/24,15:36:48,2.6558,2359
V,08/01/24,15:36:52,2.655,91
V,08/01/24,15:36:57,2.655,90
C,08/01/24,15:38:42,2.66,374
V,08/01/24,16:17:43,2.645,555
C,08/01/24,16:32:22,2.655,900
V,08/01/24,17:15:00,2.645,1840
V,08/01/24,17:15:07,2.645,89
C,08/01/24,17:17:51,2.65,364
C,08/01/24,17:22:03,2.65,2000
C,08/01/24,17:23:14,2.65,359
C,08/01/24,17:28:13,2.65,2353
V,08/01/24,17:29:53,2.645,286
SF,08/01/24,17:35:23,2.66,7254
SI,09/01/24,09:37:15,2.644,7835
V,09/01/24,09:37:19,2.63,417
V,09/01/24,09:42:33,2.625,735
V,09/01/24,10:03:41,2.62,2000
C,09/01/24,10:03:51,2.63,200
V,09/01/24,10:09:41,2.6198,1049
V,09/01/24,10:12:44,2.615,1511
V,09/01/24,10:18:28,2.615,1257
V,09/01/24,10:58:21,2.61,923
C,09/01/24,11:07:04,2.6278,3060
V,09/01/24,11:10:36,2.61,11814
V,09/01/24,11:10:37,2.61,139
V,09/01/24,11:10:38,2.605,1587
C,09/01/24,11:11:07,2.61,2500
C,09/01/24,11:52:53,2.61,126
V,09/01/24,11:59:36,2.605,1175
V,09/01/24,11:59:37,2.605,977
C,09/01/24,12:00:38,2.61,265
V,09/01/24,12:02:33,2.605,1000
V,09/01/24,12:04:31,2.605,3761
V,09/01/24,12:05:54,2.6,375
C,09/01/24,12:06:31,2.605,1420
V,09/01/24,12:06:38,2.6,300
V,09/01/24,12:19:07,2.5938,10918
V,09/01/24,12:19:08,2.5802,2906
C,09/01/24,12:30:59,2.59,400
V,09/01/24,12:36:08,2.5829,3831
V,09/01/24,12:52:44,2.58,923
C,09/01/24,12:52:45,2.59,1327
V,09/01/24,12:58:27,2.5813,7853
C,09/01/24,12:58:36,2.59,7
V,09/01/24,13:15:27,2.58,527
V,09/01/24,13:30:16,2.58,2913
V,09/01/24,13:30:18,2.5798,5026
V,09/01/24,13:30:25,2.565,160
C,09/01/24,13:48:24,2.575,846
C,09/01/24,13:57:39,2.58,334
C,09/01/24,13:57:40,2.59,122
V,09/01/24,13:58:05,2.585,108
V,09/01/24,14:32:25,2.58,200
V,09/01/24,15:49:23,2.57,2225
V,09/01/24,15:51:01,2.57,782
C,09/01/24,16:15:11,2.58,3201
C,09/01/24,16:22:04,2.585,1519
C,09/01/24,16:43:23,2.59,840
C,09/01/24,17:07:50,2.59,1000
V,09/01/24,17:12:02,2.58,1756
V,09/01/24,17:12:14,2.5709,931
V,09/01/24,17:16:29,2.57,4000
V,09/01/24,17:20:46,2.57,952
V,09/01/24,17:22:53,2.57,310
V,09/01/24,17:29:33,2.57,494
V,09/01/24,17:29:50,2.57,400
SF,09/01/24,17:35:11,2.57,6259
SI,10/01/24,09:00:05,2.575,1458
SI,10/01/24,09:00:06,2.575,364
C,10/01/24,09:18:47,2.585,1576
V,10/01/24,10:48:36,2.575,2584
C,10/01/24,10:56:25,2.5831,894
V,10/01/24,10:56:30,2.575,205
C,10/01/24,11:16:45,2.58,775
V,10/01/24,11:24:01,2.57,3682
V,10/01/24,12:00:48,2.565,312
V,10/01/24,12:00:49,2.56,3803
C,10/01/24,12:06:09,2.5616,505
C,10/01/24,12:31:01,2.575,400
V,10/01/24,13:03:34,2.57,2606
C,10/01/24,13:21:07,2.575,1059
C,10/01/24,14:09:28,2.575,45
C,10/01/24,14:29:30,2.58,1250
C,10/01/24,14:41:38,2.5849,1227
C,10/01/24,14:44:07,2.585,17
C,10/01/24,15:24:58,2.595,1200
C,10/01/24,15:30:12,2.6,1004
C,10/01/24,15:32:09,2.61,343
V,10/01/24,15:34:58,2.5999,1679
V,10/01/24,15:45:37,2.59,543
V,10/01/24,16:54:49,2.59,2
C,10/01/24,17:00:49,2.595,454
V,10/01/24,17:00:59,2.59,116
C,10/01/24,17:15:03,2.595,2
C,10/01/24,17:28:34,2.6,52
V,10/01/24,17:28:52,2.595,127
V,10/01/24,17:29:24,2.595,76
SF,10/01/24,17:35:30,2.595,4988
SI,11/01/24,09:00:24,2.62,2243
SI,11/01/24,09:00:58,2.62,508
V,11/01/24,09:05:00,2.615,200
C,11/01/24,09:17:56,2.625,267
V,11/01/24,09:26:05,2.6101,839
V,11/01/24,09:29:01,2.61,10
V,11/01/24,09:36:46,2.6,1413
V,11/01/24,09:36:50,2.59,451
V,11/01/24,09:47:26,2.58,1107
C,11/01/24,09:48:28,2.6,1631
C,11/01/24,09:48:41,2.61,1051
C,11/01/24,10:01:19,2.61,35
C,11/01/24,10:11:13,2.61,2634
V,11/01/24,11:07:08,2.5896,20356
V,11/01/24,12:55:35,2.58,51
V,11/01/24,13:38:07,2.58,220
V,11/01/24,14:31:44,2.58,2769
V,11/01/24,15:00:28,2.575,1304
V,11/01/24,15:41:08,2.57,2000
V,11/01/24,15:52:13,2.5696,3014
C,11/01/24,15:52:14,2.57,1051
C,11/01/24,16:03:53,2.57,35
C,11/01/24,16:06:21,2.57,776
C,11/01/24,16:40:49,2.57,1396
C,11/01/24,16:42:44,2.5835,3600
V,11/01/24,16:47:43,2.575,35
C,11/01/24,16:59:34,2.585,207
V,11/01/24,17:04:59,2.58,420
SF,11/01/24,17:35:18,2.575,1998
SI,12/01/24,09:00:13,2.61,105
V,12/01/24,09:00:15,2.595,178
C,12/01/24,09:12:35,2.6126,2550
V,12/01/24,09:36:58,2.61,4
V,12/01/24,10:00:53,2.61,5496
V,12/01/24,10:27:22,2.595,178
V,12/01/24,11:00:06,2.59,200
V,12/01/24,11:39:07,2.59,433
C,12/01/24,12:23:24,2.605,36
V,12/01/24,12:27:58,2.59,1312
V,12/01/24,12:40:42,2.59,739
V,12/01/24,13:08:44,2.58,117
C,12/01/24,14:40:40,2.59,154
C,12/01/24,14:58:47,2.6,377
V,12/01/24,16:06:26,2.59,33
V,12/01/24,16:42:17,2.5856,2087
C,12/01/24,17:07:47,2.59,27
V,12/01/24,17:15:49,2.5804,754
V,12/01/24,17:27:49,2.58,77
V,12/01/24,17:29:32,2.58,483
C,12/01/24,17:29:34,2.59,43
SF,12/01/24,17:35:06,2.585,4415
SI,15/01/24,09:00:08,2.58,2755
SI,15/01/24,09:00:09,2.58,491
SI,15/01/24,09:12:58,2.58,30
C,15/01/24,09:17:10,2.585,1066
C,15/01/24,09:31:29,2.585,160
V,15/01/24,10:01:13,2.565,1500
C,15/01/24,10:03:30,2.5682,136
C,15/01/24,10:03:57,2.57,152
V,15/01/24,10:04:02,2.565,16
V,15/01/24,10:04:37,2.565,1160
C,15/01/24,10:22:20,2.57,176
C,15/01/24,10:43:23,2.57,726
C,15/01/24,10:43:28,2.57,86
V,15/01/24,11:30:04,2.565,190
V,15/01/24,11:43:01,2.5623,438
C,15/01/24,11:48:44,2.565,50
V,15/01/24,11:57:56,2.56,112
C,15/01/24,11:58:00,2.57,35
V,15/01/24,12:08:33,2.5698,707
V,15/01/24,12:08:42,2.565,25
C,15/01/24,12:08:56,2.57,51
V,15/01/24,12:11:20,2.5612,1152
C,15/01/24,12:11:24,2.565,1299
C,15/01/24,12:26:38,2.57,35
V,15/01/24,12:59:10,2.565,365
V,15/01/24,13:50:22,2.5643,2312
V,15/01/24,13:50:26,2.56,2106
V,15/01/24,13:56:48,2.555,217
C,15/01/24,14:01:47,2.56,448
V,15/01/24,14:25:01,2.5499,6435
C,15/01/24,14:25:05,2.55,223
C,15/01/24,14:49:50,2.55,1239
C,15/01/24,16:20:57,2.56,543
C,15/01/24,16:28:00,2.565,207
V,15/01/24,16:30:05,2.56,195
V,15/01/24,17:18:50,2.56,68
V,15/01/24,17:19:06,2.56,110
SF,15/01/24,17:35:02,2.565,4079
SI,16/01/24,09:00:27,2.565,19
SI,16/01/24,09:00:28,2.565,1357
V,16/01/24,09:00:30,2.56,387
V,16/01/24,09:01:27,2.555,217
V,16/01/24,09:24:32,2.5455,1591
V,16/01/24,09:32:32,2.54,1668
V,16/01/24,09:39:17,2.5365,3849
C,16/01/24,09:53:43,2.5396,6844
C,16/01/24,09:53:50,2.54,372
V,16/01/24,10:06:59,2.5358,459
V,16/01/24,10:19:05,2.53,1
C,16/01/24,10:25:57,2.54,116
V,16/01/24,10:29:00,2.535,178
V,16/01/24,10:43:47,2.53,31
C,16/01/24,10:49:11,2.54,100
V,16/01/24,10:57:40,2.53,5618
V,16/01/24,11:04:20,2.53,288
V,16/01/24,11:04:21,2.53,789
V,16/01/24,11:09:14,2.5062,27000
V,16/01/24,11:09:16,2.505,1200
C,16/01/24,11:09:42,2.5232,6282
V,16/01/24,11:13:47,2.5037,20000
C,16/01/24,11:17:47,2.51,1840
C,16/01/24,11:27:55,2.515,36
C,16/01/24,11:29:27,2.515,248
C,16/01/24,11:35:41,2.52,58
C,16/01/24,11:43:38,2.525,212
V,16/01/24,11:48:03,2.515,256
V,16/01/24,12:00:05,2.515,47
C,16/01/24,12:02:14,2.52,1190
C,16/01/24,12:02:35,2.52,500
V,16/01/24,12:22:45,2.515,36
C,16/01/24,12:22:54,2.52,5330
C,16/01/24,12:22:55,2.52,200
C,16/01/24,12:28:02,2.52,530
C,16/01/24,12:46:04,2.5251,1403
C,16/01/24,12:58:04,2.53,700
V,16/01/24,13:21:34,2.515,750
V,16/01/24,13:29:54,2.515,1627
C,16/01/24,13:30:15,2.52,311
V,16/01/24,14:24:34,2.515,92
V,16/01/24,15:02:53,2.5097,2625
C,16/01/24,15:02:58,2.51,178
V,16/01/24,15:09:05,2.501,10000
V,16/01/24,15:40:23,2.499,5492
C,16/01/24,15:42:20,2.5,111
C,16/01/24,15:45:54,2.51,1096
V,16/01/24,15:46:46,2.505,410
V,16/01/24,15:54:30,2.4965,12200
C,16/01/24,16:07:21,2.51,402
C,16/01/24,16:19:52,2.51,1355
C,16/01/24,16:24:41,2.515,1000
V,16/01/24,16:31:52,2.505,36
V,16/01/24,16:36:30,2.505,213
V,16/01/24,16:41:08,2.4993,2000
C,16/01/24,16:50:00,2.51,299
V,16/01/24,16:50:10,2.505,80
V,16/01/24,16:55:59,2.4971,5514
C,16/01/24,17:01:01,2.505,108
C,16/01/24,17:03:18,2.5079,86
V,16/01/24,17:09:59,2.505,49
V,16/01/24,17:15:33,2.505,36
V,16/01/24,17:24:44,2.505,44
V,16/01/24,17:29:33,2.5028,315
C,16/01/24,17:29:38,2.51,2
SF,16/01/24,17:35:21,2.515,3906
SI,17/01/24,09:00:15,2.4907,771
V,17/01/24,09:00:25,2.49,604
V,17/01/24,09:01:15,2.49,1451
V,17/01/24,09:25:11,2.4799,7603
V,17/01/24,10:10:20,2.452,6598
V,17/01/24,10:11:40,2.44,750
C,17/01/24,10:12:07,2.4502,2000
C,17/01/24,10:18:32,2.455,2400
V,17/01/24,10:28:57,2.4398,11000
C,17/01/24,10:58:15,2.455,52
V,17/01/24,11:01:54,2.4479,1400
C,17/01/24,11:02:47,2.495,50
V,17/01/24,11:03:22,2.465,774
C,17/01/24,11:08:52,2.485,250
V,17/01/24,11:13:27,2.46,541
C,17/01/24,11:26:18,2.47,1146
V,17/01/24,11:29:43,2.465,39
V,17/01/24,11:59:39,2.455,352
C,17/01/24,11:59:55,2.47,1171
V,17/01/24,12:42:18,2.46,1110
V,17/01/24,13:02:04,2.46,413
V,17/01/24,13:44:41,2.46,37
V,17/01/24,14:02:22,2.46,624
V,17/01/24,14:02:23,2.46,77
C,17/01/24,14:15:59,2.465,286
V,17/01/24,14:44:13,2.46,8739
V,17/01/24,14:44:14,2.455,2233
V,17/01/24,14:46:27,2.45,1544
V,17/01/24,14:46:38,2.45,410
V,17/01/24,14:50:32,2.45,46
C,17/01/24,15:07:15,2.455,1092
C,17/01/24,15:09:35,2.4667,5000
C,17/01/24,15:27:42,2.475,500
C,17/01/24,15:36:17,2.475,499
V,17/01/24,15:44:07,2.455,1669
V,17/01/24,15:51:17,2.455,856
C,17/01/24,15:53:38,2.46,600
C,17/01/24,15:53:39,2.46,183
V,17/01/24,15:54:33,2.455,114
C,17/01/24,16:02:38,2.464,1100
C,17/01/24,16:12:24,2.47,1891
C,17/01/24,16:13:07,2.47,255
C,17/01/24,16:15:39,2.475,28
C,17/01/24,16:42:40,2.475,500
C,17/01/24,16:49:35,2.475,602
V,17/01/24,17:00:58,2.46,3
C,17/01/24,17:05:27,2.4604,3123
C,17/01/24,17:10:53,2.47,1548
C,17/01/24,17:10:55,2.475,281
C,17/01/24,17:10:56,2.475,183
C,17/01/24,17:22:50,2.48,144
C,17/01/24,17:24:50,2.48,141
C,17/01/24,17:26:54,2.4837,458
C,17/01/24,17:28:05,2.485,575
V,17/01/24,17:29:27,2.475,396
SF,17/01/24,17:35:09,2.47,3881
SI,18/01/24,09:28:37,2.46,31
SI,18/01/24,09:41:01,2.46,2698
V,18/01/24,09:41:02,2.45,162
V,18/01/24,10:18:44,2.45,171
V,18/01/24,10:19:43,2.45,100
C,18/01/24,10:30:00,2.4598,2293
C,18/01/24,10:36:00,2.465,888
C,18/01/24,11:23:17,2.465,25
C,18/01/24,11:25:00,2.465,11
C,18/01/24,11:25:04,2.465,22
C,18/01/24,11:29:30,2.465,224
C,18/01/24,11:45:15,2.47,287
C,18/01/24,11:45:16,2.48,1
V,18/01/24,11:46:43,2.475,3
C,18/01/24,12:14:23,2.485,200
C,18/01/24,12:30:52,2.4855,3531
C,18/01/24,12:31:27,2.5,2258
V,18/01/24,12:31:28,2.4997,10893
V,18/01/24,12:31:29,2.49,1112
V,18/01/24,12:31:31,2.49,661
V,18/01/24,12:48:13,2.485,3
C,18/01/24,13:34:31,2.5088,5000
V,18/01/24,13:54:13,2.49,361
V,18/01/24,14:02:08,2.485,300
C,18/01/24,14:08:14,2.495,40
V,18/01/24,14:42:50,2.485,1344
V,18/01/24,14:42:53,2.485,900
V,18/01/24,14:43:04,2.4835,7217
V,18/01/24,14:43:05,2.47,1107
V,18/01/24,14:46:36,2.47,36
V,18/01/24,14:54:36,2.47,59
V,18/01/24,15:44:10,2.465,400
V,18/01/24,15:51:59,2.465,300
V,18/01/24,15:53:03,2.465,186
C,18/01/24,16:16:20,2.475,1793
C,18/01/24,16:25:32,2.475,814
V,18/01/24,17:09:59,2.465,357
C,18/01/24,17:14:42,2.47,2211
C,18/01/24,17:14:43,2.475,344
V,18/01/24,17:24:46,2.47,1000
C,18/01/24,17:25:10,2.475,932
SF,18/01/24,17:35:28,2.47,6233
SI,19/01/24,09:00:23,2.465,13350
C,19/01/24,09:05:17,2.4969,677
C,19/01/24,09:22:11,2.502,1100
V,19/01/24,09:26:23,2.4773,2430
C,19/01/24,09:37:14,2.48,2050
V,19/01/24,09:43:00,2.47,20
C,19/01/24,09:45:11,2.475,500
V,19/01/24,10:24:58,2.465,4
V,19/01/24,10:30:28,2.465,325
V,19/01/24,10:45:17,2.465,515
V,19/01/24,11:05:19,2.46,230
V,19/01/24,11:44:20,2.46,230
V,19/01/24,12:21:02,2.46,20
C,19/01/24,12:51:32,2.465,3184
V,19/01/24,12:51:33,2.46,572
V,19/01/24,12:53:24,2.46,200
V,19/01/24,13:10:10,2.4597,7198
V,19/01/24,13:10:11,2.455,214
C,19/01/24,13:21:21,2.46,2000
V,19/01/24,14:16:37,2.455,276
V,19/01/24,14:26:37,2.455,788
C,19/01/24,14:30:05,2.4613,2000
V,19/01/24,14:43:17,2.455,37
V,19/01/24,14:48:48,2.455,2000
V,19/01/24,15:19:47,2.45,235
V,19/01/24,15:52:45,2.45,236
C,19/01/24,16:00:16,2.46,397
C,19/01/24,16:03:23,2.46,29
C,19/01/24,16:06:23,2.46,14
V,19/01/24,16:21:07,2.455,223
V,19/01/24,16:30:56,2.45,2210
C,19/01/24,17:05:39,2.4563,2434
C,19/01/24,17:10:17,2.46,770
C,19/01/24,17:20:13,2.465,403
V,19/01/24,17:23:27,2.455,1624
C,19/01/24,17:26:18,2.46,525
C,19/01/24,17:29:30,2.46,186
SF,19/01/24,17:35:16,2.45,9573
SI,22/01/24,09:00:18,2.47,2202
SI,22/01/24,09:00:19,2.47,135
C,22/01/24,09:12:35,2.4805,1956
C,22/01/24,09:48:25,2.5,1000
V,22/01/24,09:49:56,2.485,5
V,22/01/24,10:08:25,2.485,317
V,22/01/24,10:42:20,2.48,1200
V,22/01/24,11:11:31,2.48,608
C,22/01/24,11:53:38,2.485,116
V,22/01/24,12:07:08,2.475,10
V,22/01/24,12:11:14,2.475,258
V,22/01/24,12:14:42,2.475,500
C,22/01/24,12:17:58,2.485,37
C,22/01/24,12:19:27,2.4889,1888
V,22/01/24,13:55:27,2.475,802
V,22/01/24,15:06:28,2.475,32
C,22/01/24,15:36:43,2.4803,1246
C,22/01/24,15:36:44,2.4901,1181
V,22/01/24,16:55:52,2.49,1473
V,22/01/24,17:19:42,2.4868,1634
C,22/01/24,17:19:48,2.495,47
SF,22/01/24,17:35:11,2.49,4333
SI,23/01/24,09:00:06,2.5041,1567
V,23/01/24,09:15:04,2.48,48
C,23/01/24,09:44:37,2.4904,1200
V,23/01/24,10:01:47,2.475,1550
C,23/01/24,10:57:41,2.495,500
V,23/01/24,11:07:04,2.4774,3269
V,23/01/24,11:08:16,2.47,200
C,23/01/24,11:09:49,2.48,300
V,23/01/24,11:51:02,2.47,1225
C,23/01/24,12:00:49,2.4808,1273
C,23/01/24,12:11:29,2.4873,1984
V,23/01/24,12:21:24,2.485,1108
V,23/01/24,12:34:54,2.48,700
V,23/01/24,13:05:48,2.48,343
C,23/01/24,13:14:01,2.4908,532
C,23/01/24,15:12:18,2.495,198
V,23/01/24,15:42:38,2.49,234
C,23/01/24,15:55:49,2.505,976
V,23/01/24,15:55:52,2.5,1020
V,23/01/24,15:58:43,2.495,276
V,23/01/24,16:25:37,2.495,92
V,23/01/24,16:37:18,2.495,92
V,23/01/24,16:43:47,2.49,66
V,23/01/24,16:53:47,2.4844,1881
